Model,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
pruned_model_48.pth,15.269168333333333,3.322420887444121,2463.59354125,1592.178612322384,137.01001116666666,32.66002134763385,0.4101454666666667,0.1499412598808895,0.14967766666666668,0.14328801682052553,821.5925,788.1137822655517
pruned_model_49.pth,15.164965249999998,3.324170576565308,2543.795555583333,1796.3371022885954,135.36029008333333,33.231147064785404,0.41742920000000006,0.15013610065199287,0.149047,0.14266393338626632,821.5925,788.1137822655517
pruned_model_5.pth,18.088496166666665,5.509218677129183,1675.5729940833335,1382.7531499620152,119.52905425,24.658824766987035,0.2927653333333334,0.14893024692616408,0.14971075,0.1433155810530779,821.5925,788.1137822655517
pruned_model_50.pth,14.7704305,3.362830003664726,2786.5963486666665,1880.1721895293008,135.31109091666667,32.640864125805415,0.46773840000000005,0.15718428196473408,0.14927133333333334,0.14286260257406094,821.5925,788.1137822655517
pruned_model_51.pth,14.499933416666666,3.319517944626232,2953.0879772499998,1979.2816015741505,135.89314083333332,31.946027194698292,0.4778144,0.15652024299728953,0.14962958333333332,0.1428442690630716,821.5925,788.1137822655517
pruned_model_52.pth,14.409901833333333,3.269148913695005,2996.3612760833335,2010.5219939203898,135.62688525000002,31.933888864038728,0.4743265333333333,0.15582643344159464,0.14960649999999998,0.14312191636341473,821.5925,788.1137822655517
pruned_model_53.pth,14.057132750000001,3.2636503867359106,3227.0611755,2046.2565458439112,136.14381658333335,30.841094597087846,0.4947588,0.15431001400791905,0.14951316666666667,0.14311731387658258,821.5925,788.1137822655517
pruned_model_54.pth,13.874107166666667,3.2711017799197486,3358.4174954166665,2072.075402688017,135.9954485,30.334002139094824,0.5206852,0.14833443623872042,0.14953175,0.14313152871525017,821.5925,788.1137822655517
pruned_model_55.pth,13.794475833333333,3.2235516484008095,3397.41355725,2065.955040629667,134.8536645833333,30.544754721328605,0.5254949333333333,0.14301908403727354,0.14998324999999998,0.14375683323012664,821.5925,788.1137822655517
pruned_model_56.pth,13.852571083333332,3.1533915313749543,3333.6997029166664,2062.3335216897112,132.59896741666665,31.785128387939718,0.5305232,0.14159780928585272,0.149646,0.14322451484310703,821.5925,788.1137822655517
pruned_model_57.pth,13.669646749999998,3.220388946011402,3546.306428416667,2607.291562779222,131.20064675,32.064956589681984,0.5370713333333333,0.145650916936219,0.14977325,0.14340406810266748,821.5925,788.1137822655517
pruned_model_58.pth,13.670463416666667,3.1974630389875354,3530.88384925,2558.792985469794,130.84118516666666,32.605810906127104,0.5464332000000001,0.14152432090977143,0.14921900000000002,0.14283798151449748,821.5925,788.1137822655517
pruned_model_59.pth,13.72436625,3.1135537171203196,3411.5609981666666,2068.6831500917315,131.56388191666667,31.984225116872913,0.5541193333333333,0.14119444039888734,0.14947625,0.14288916283253725,821.5925,788.1137822655517
pruned_model_6.pth,18.1035255,5.504622063037619,1668.27084,1377.3253906212192,119.89816866666665,24.454231364017335,0.29290920000000004,0.14865612295680952,0.08959483333333333,0.07884030082494213,821.5925,788.1137822655517
pruned_model_60.pth,13.743680416666667,3.1167325033635382,3396.941451416667,2054.590675380766,131.34272641666666,32.225005068170496,0.5516337333333333,0.1336477101785767,0.14968791666666667,0.14318122536983816,821.5925,788.1137822655517
pruned_model_61.pth,13.658579666666668,3.134599732986908,3467.2125673333335,2068.5548406108487,132.22768975,31.618865648313378,0.5598184,0.13459286739910462,0.1492915,0.1429349562884846,821.5925,788.1137822655517
pruned_model_62.pth,13.687780083333333,3.1019119129564987,3433.54140025,2060.812586920617,131.21081908333335,32.158783115618775,0.5617563999999999,0.13576512971415658,0.14948433333333333,0.14297147981767766,821.5925,788.1137822655517
pruned_model_63.pth,13.617821583333333,3.1270761168637544,3496.9463109166663,2079.8046083065014,131.5819135,31.76709184881731,0.5516396,0.1313295935983698,0.14936258333333333,0.14280642079347455,821.5925,788.1137822655517
pruned_model_64.pth,13.629852999999999,3.1003647276723463,3477.763455083333,2074.209581585834,130.94366591666667,32.15887977439564,0.5535346666666667,0.1291201006766719,0.14900958333333333,0.1426326522729107,821.5925,788.1137822655517
pruned_model_65.pth,13.669302333333333,3.0769434233754507,3439.4446209166667,2069.0915548253342,130.23593383333332,32.61801238853653,0.55871,0.13297233916863552,0.14914466666666668,0.1423608268652008,821.5925,788.1137822655517
pruned_model_66.pth,13.699453416666666,3.062128794131331,3412.00667625,2080.3145143722504,129.42168583333333,33.05976036609039,0.5467770666666667,0.13027796874215392,0.14960308333333333,0.1430804035046343,821.5925,788.1137822655517
pruned_model_67.pth,13.676216833333335,3.0711140474362524,3433.6438434166666,2089.8716851994955,129.56237408333334,32.88912744950466,0.5654884,0.13088261778514,0.14922916666666666,0.14296795362052625,821.5925,788.1137822655517
pruned_model_68.pth,13.696781416666665,3.0732836861125854,3418.1508731666663,2086.2902299267344,129.38439841666667,32.983796907865056,0.561138,0.13369507874803002,0.14820225,0.14180483517615666,821.5925,788.1137822655517
pruned_model_69.pth,13.681192416666667,3.0890035515764964,3433.7133903333333,2062.6791169484127,130.22351525000002,32.64210470191862,0.5693846666666667,0.13307929692699388,0.14810399999999999,0.14156485324305643,821.5925,788.1137822655517
pruned_model_7.pth,18.070806083333334,5.512844929874107,1680.4059570833333,1381.2173770506752,121.11837075000001,24.19072531184035,0.29292973333333333,0.14880214454174548,0.0894595,0.07585806998644501,849.15,788.8365073508211
pruned_model_70.pth,13.708587583333335,3.0800013551096153,3410.540566416667,2062.70148108587,129.78658241666668,32.901829939704236,0.5716962666666666,0.1339980570448117,0.14762241666666664,0.14140240187212438,821.5925,788.1137822655517
pruned_model_71.pth,13.717380749999998,3.082507652081672,3405.289649083333,2071.794516836018,129.5579615,33.05530691991014,0.5719670666666666,0.1344286429627033,0.1471778333333333,0.1408325041334184,821.5925,788.1137822655517
pruned_model_72.pth,13.719433833333333,3.0862158409562737,3405.043493333333,2076.0181626884305,129.47135525000002,33.108510727379624,0.5709652000000001,0.13474659855963414,0.14768308333333333,0.14137708886711514,821.5925,788.1137822655517
pruned_model_73.pth,13.786298,3.091170022510798,3359.314197166667,2097.915193643391,128.5952185,33.54494945760591,0.5711570666666667,0.13517899846338183,0.14654275,0.1402211175213512,821.5925,788.1137822655517
pruned_model_74.pth,13.736925833333334,3.0995676850158143,3394.9940272500003,2053.7094505879227,129.94263850000002,32.95349135511052,0.5717746666666667,0.13531672868115824,0.14654941666666665,0.14004005235364778,821.5925,788.1137822655517
pruned_model_75.pth,13.753483249999999,3.1058956537024076,3384.9309412499997,2047.7391660183448,130.07592333333335,32.93754021396476,0.5695738666666667,0.13488735174432165,0.14577716666666668,0.13951222950141662,821.5925,788.1137822655517
pruned_model_76.pth,13.754568249999998,3.1041596522793924,3382.7832533333335,2036.2538949304328,130.33000558333333,32.83008482711256,0.5706135999999999,0.1348003549796644,0.14566633333333334,0.13946944350387874,821.5925,788.1137822655517
